proposal_id,Score_Maximize Health Impact,Score_Maximize Value for Money,Score_Reinforce Financial Sustainability,Score_Support Countries with the Greatest Needs,Score_equity,Score_final
P0084,0.5806718,0.39725912,0.48218906,0.6484702,0.4183937199335076,21.38816521665937
P0085,0.79745746,0.7495139,0.7792857,0.7377844,0.5698165005745096,43.8519657982274
P0086,0.3068964,0.305026,0.36066628,0.24899346,0.4871694187646331,15.155464878708397
P0087,0.5049187,0.43857354,0.6305268,0.54492486,0.45241017199957173,23.634725422491183
P0088,0.5954906,0.5300703,0.688046,0.50006866,0.4753218929279509,27.791600225351647
P0089,0.6306422,0.67473996,0.63810015,0.63650584,0.623370253977817,40.30809460255795
P0090,0.7841726,0.63723606,0.71421087,0.8838122,0.252922968476915,18.65426168953016
P0091,0.057781756,0.0638513,0.23551035,0.06911296,0.8312521681601752,8.789199297734127
P0092,0.5782373,0.5403746,0.6247368,0.66718006,0.2463604006550053,14.580712134761098
P0093,0.7790905,0.73588884,0.86618173,0.7572463,0.38799605854942437,30.44318675615448
P0094,0.5612893,0.44089115,0.57955104,0.623983,0.4504196407651405,24.283897036242568
P0095,0.34715974,0.22573012,0.21575224,0.35794598,0.3699942735526798,10.341226653187821
P0096,0.41305804,0.26200545,0.39998198,0.48847485,0.4848355277250396,18.21942911553899
P0097,0.5043676,0.4352699,0.5723099,0.62374693,0.46692660345393944,24.21158187107656
P0098,0.39449334,0.24389511,0.3553807,0.63563657,0.38218331809453054,14.358902780979479
P0099,0.5171484,0.39509743,0.57809746,0.5343057,0.553643891560154,27.590509729573004
P0100,0.01578337,0.0014074445,0.118899524,0.15453047,0.4307294193777813,2.500888085986589
P0101,0.5941474,0.4959588,0.60819787,0.4842853,0.7229693056823296,39.88796154422395
P0102,0.43256122,0.65708774,0.4463973,0.1943084,0.6356507039844494,29.7255873653424
P0103,0.70750004,0.7003344,0.669351,0.71460724,0.38203193190474827,26.623008739920202
P0104,0.68800783,0.76653886,0.6773302,0.37031555,0.7442585088553714,49.21364105827809
P0105,0.5736336,0.5204451,0.8461027,0.7098545,0.40577302494577494,26.222165476325287
P0106,0.78040075,0.7688176,0.76612926,0.67987716,0.45769024265522784,34.70570748892666
P0107,0.55301654,0.37858278,0.6060386,0.6004032,0.4471943969090533,23.301060327794936
P0108,0.72801137,0.5384625,0.76849794,0.7947906,0.30742009866634756,21.251498055200038
P0109,0.5444386,0.4941312,0.39612007,0.3782853,0.3390462214641448,15.845113175403474
P0110,0.15212983,0.16731262,0.1598475,0.17343974,0.55457258389992,8.973570974249922
P0111,0.3152374,0.38852292,0.42699575,0.3397913,0.6303610375224434,23.25059964776976
P0112,0.33109647,0.24754816,0.3400318,0.17589188,0.8262405602871269,23.546629403096603
P0113,0.26471275,0.30989766,0.33087146,0.09834343,0.6211084901839532,16.76076906703761
P0114,0.6924131,0.6214529,0.8909974,0.5844165,0.5798282543333595,40.853052362269516
P0115,0.7953061,0.8780521,0.8404566,0.6844027,0.38134187182880774,31.071050194721035
P0116,0.59198225,0.42476815,0.67930436,0.6507332,0.3987971481540233,22.829588913926045
P0117,0.7615829,0.8157246,0.62899965,0.6080041,0.5587546163436916,40.32212748111759
P0118,0.46712315,0.28588712,0.5039537,0.58756953,0.41323650352347024,18.183519369347465
P0119,0.71647775,0.6361859,0.48906076,0.6416405,0.14004626960834718,8.743233064548876
P0120,0.53693616,0.607942,0.44509333,0.40549242,0.44336840227456054,22.85832914614083
P0121,0.3851515,0.34238344,0.4717037,0.409658,0.3024190947878094,12.025244768496643
P0122,0.7100434,0.66237974,0.70212805,0.64855564,0.22809814274441612,15.61428268760916
P0123,0.8009888,0.6231058,0.7875875,0.9262529,0.49704448838615345,37.92763540566357
P0124,0.0991236,0.117340565,1.1920929e-07,0.110785365,0.6671724859235808,5.441264487893347
P0125,0.4897679,0.3264612,0.2862209,0.45563644,0.6437530325813792,24.769649364975287
P0126,0.13453382,0.17057693,0.12576962,0.018308282,0.45369594030004745,5.703950286657208
P0127,0.60829675,0.6459931,0.65556073,0.48832166,0.4274275349736901,26.21949209890792
P0128,0.38912088,0.2997641,0.38470095,0.44630337,0.46753285162837604,17.288722580533143
P0129,0.73346454,0.73677087,0.5819125,0.64386773,0.49300013438321744,33.67826362351292
P0130,0.5603429,0.5128087,0.51496375,0.52330476,0.4063708500650783,21.504419446947146
P0131,0.749334,0.8222977,0.6547127,0.5236467,0.7378518948662895,52.661575767431266
P0132,0.41156417,0.45225006,0.50506043,0.2518112,0.6042833451575649,25.57212647169637
P0133,0.41102004,0.36863893,0.5008954,0.41051704,0.5103725140732023,21.47132673222371
P0134,0.4544093,0.2547291,0.5234337,0.41767395,0.5063605144859777,20.570948718510383
P0135,0.9038004,0.8633247,0.87780213,0.8243948,0.359468744851294,31.39051200136133
P0136,0.46023083,0.42124248,0.6376232,0.54142773,0.4040825092894976,20.408671386658394
P0137,0.74099183,0.6069883,0.83097446,0.74146116,0.7069843016364608,51.14019324785558
P0138,0.96892196,0.79362684,0.95122564,1.0,0.5769456829821713,52.88116937586766
P0139,0.56671774,0.51935893,0.6378439,0.6418505,0.44961933671347876,26.14813252928272
P0140,0.6807319,0.7120585,0.8139109,0.5518926,0.6244337784711268,43.96630497990823
P0141,0.10117471,0.08691037,0.3581763,0.0834074,0.8508635621944474,13.484545620048877
P0142,0.7929483,0.7388301,0.68627393,0.6387246,0.311415169649043,22.63710221786112
P0143,0.41508263,0.26487184,0.27708966,0.26474333,0.6464755104232538,20.232760266228635
P0144,0.69870293,0.685959,0.6801088,0.7575449,0.5060713542765842,35.37729855781467
P0145,0.54101884,0.46609652,0.6053562,0.695536,0.19320779841241578,10.777210358755301
P0146,0.38017583,0.4408357,0.49412394,0.41553098,0.7383812896510914,31.91018875610101
P0147,0.46332228,0.5007901,0.41997528,0.412853,0.588302370873267,26.835736728843116
P0148,0.66175205,0.42889327,0.55460364,0.7676251,0.32160212825125184,18.684706988596268
P0149,0.68948376,0.5211249,0.5753788,0.82088923,0.19740997952262443,12.440000878132476
P0150,0.37891793,0.31872523,0.4012609,0.40790576,0.44079159378625976,16.344289058783033
P0151,0.8842517,0.6984947,0.8612349,0.8876488,0.4689699974677521,38.6093608656151
P0152,0.39480668,0.27488983,0.5127147,0.5896754,0.6560208485244996,27.39142503055192
P0153,0.518188,0.41999996,0.4362434,0.6712214,0.19578220599340185,9.616831294952535
P0154,0.80105454,0.8181752,0.8889003,0.75310373,0.47839912708129423,39.27463407115657
P0155,0.39353925,0.32674235,0.54812324,0.6670537,0.41723907046754666,18.908162287812477
P0156,0.37543368,0.3535323,0.4043879,0.3103953,0.41363332375044826,15.153295127656211
P0157,1.0,1.0,0.86180407,0.88695705,0.2949749832693097,27.978216506915604
P0158,0.50558054,0.5668893,0.4576143,0.32747042,0.3860280421934264,18.732593879958724
P0159,0.2871936,0.31723535,0.13676351,0.17857301,0.5371274255085378,13.014893863835416
P0160,0.8184912,0.84341794,0.91185254,0.6795927,0.650951791392705,53.92971679815468
P0161,0.8676712,0.7539272,0.83853334,0.7857057,0.37808416743186546,30.77486850802394
P0162,0.5185417,0.6004039,0.5318252,0.4060645,0.7592097216707164,40.203924868762144
P0163,0.7373963,0.63412,0.7232646,0.6918448,0.7016273467835658,48.836620096952025
P0164,0.33708853,0.27509904,0.27316797,0.19445485,0.5156794748217239,14.49660016557209
P0165,5.9604645e-08,1.1920929e-07,0.05562836,5.9604645e-08,0.4275455552038215,0.5945941518831684
P0166,0.13030005,0.05086595,0.30388838,0.23275262,0.7732658930907002,12.777042688081883
P0167,0.57048655,0.6551162,0.4927383,0.3542869,0.5527273878963257,30.068836061824594
P0168,0.41511625,0.4506812,0.49141407,0.41478878,0.6346059643567548,28.227976179447513
P0169,0.42802268,0.27876604,0.34070766,0.4774636,0.3282321048442876,12.106286305401714
P0170,0.21713185,0.2558813,0.29168105,0.15029931,0.8561156785056894,20.321542532869028
